DATA_ISO;DIA;MES;ANO;CD_TIPO;NM_TIPO;CD_SIAFI;NR_CONTRATO_CONV;DT_ASSINATURA;DT_VENCIMENTO;VR_INICIAL;SQA_FAVORECIDO;TP_DOCUMENTO;NR_DOCUMENTO;NOME;VR_JUROS;VR_AMORTIZACAO
20191220;20;12;2019;1;DÍVIDA PÚBLICA INTERNA;93;2851;20060526;20270927;56743500;503152;2;7,23737E+12;BANCO DO NORDESTE DO BRASIL S/A;0;0
20191125;25;11;2019;1;DÍVIDA PÚBLICA INTERNA;93;2851;20060526;20270927;56743500;503152;2;7,23737E+12;BANCO DO NORDESTE DO BRASIL S/A;0;0
20191120;20;11;2019;1;DÍVIDA PÚBLICA INTERNA;93;2851;20060526;20270927;56743500;503152;2;7,23737E+12;BANCO DO NORDESTE DO BRASIL S/A;0;0
20191113;13;11;2019;1;DÍVIDA PÚBLICA INTERNA;93;2851;20060526;20270927;56743500;503152;2;7,23737E+12;BANCO DO NORDESTE DO BRASIL S/A;88289,64;0
20191111;11;11;2019;1;DÍVIDA PÚBLICA INTERNA;93;2851;20060526;20270927;56743500;503152;2;7,23737E+12;BANCO DO NORDESTE DO BRASIL S/A;10047,96;0
20191108;8;11;2019;1;DÍVIDA PÚBLICA INTERNA;93;2851;20060526;20270927;56743500;503152;2;7,23737E+12;BANCO DO NORDESTE DO BRASIL S/A;0;-677,69
20190927;27;9;2019;1;DÍVIDA PÚBLICA INTERNA;93;2851;20060526;20270927;56743500;503152;2;7,23737E+12;BANCO DO NORDESTE DO BRASIL S/A;1446837,25;3132128,15
20191226;26;12;2019;1;DÍVIDA PÚBLICA INTERNA;93;2851;20060526;20270927;56743500;503152;2;7,23737E+12;BANCO DO NORDESTE DO BRASIL S/A;0;0
20190827;27;8;2019;1;DÍVIDA PÚBLICA INTERNA;93;2851;20060526;20270927;56743500;503152;2;7,23737E+12;BANCO DO NORDESTE DO BRASIL S/A;771976,98;1424478,24
20170111;11;1;2017;1;DÍVIDA PÚBLICA INTERNA;93;2851;20060526;20270927;56743500;503152;2;7,23737E+12;BANCO DO NORDESTE DO BRASIL S/A;0;0
20160923;23;9;2016;1;DÍVIDA PÚBLICA INTERNA;93;2851;20060526;20270927;56743500;503152;2;7,23737E+12;BANCO DO NORDESTE DO BRASIL S/A;1092452,96;2425976,17
