"ID_TEMPO";"ID_TIPO";"ID_CREDOR";"ID_CONTRATO";"VR_JUROS";"VR_AMORTIZACAO"
42502;2;52;272;0;0
42502;2;42;341;0;0
42070;2;42;268;25712,45;0
41615;2;42;268;0;0
41590;2;42;268;0;0
42064;2;55;279;0;0
42935;2;55;292;0;0
42532;2;55;292;0;0
41987;2;52;327;822943,88;2802245,61
41586;2;52;333;58071,57;148103,81
42947;2;52;260;11200,3;79259,34
41621;2;52;272;0;0
42070;2;42;259;36658,73;0
42093;2;42;341;0;0
42030;2;55;337;0;0
41621;2;55;337;599436,3;554508,11
41621;2;55;292;0;19128274,29
42003;2;55;337;0;0
41581;2;52;342;0;0
42938;1;44;335;0;0
42938;2;52;260;0;0
41607;2;52;272;7292366,64;6063975,08
42093;2;55;328;0;0
42009;2;55;328;-255241,57;0
42099;2;42;259;85479,65;0
41582;2;42;341;0;0
42502;2;42;268;0;0
42008;2;55;265;0;0
42532;2;55;304;0;0
41621;2;55;342;0;0
41607;2;52;327;895411,17;2799069,6
42560;2;52;333;0;0
42477;2;52;260;13991,07;78883,81
41609;2;52;260;0;0
41590;2;52;260;0;0
42473;2;52;333;0;0
42030;2;52;272;0;0
41582;1;44;315;0;0
42531;1;44;315;0;0
42544;2;55;331;10940981,94;0
41604;1;45;330;0;0
42018;2;52;283;1324487,47;2760245,98
42550;2;52;310;0;0
42914;2;42;341;-29789,52;0
42538;2;42;341;0;0
41982;2;55;279;-121,26;0
42064;2;55;265;0;0
41621;2;55;265;54189354,12;48231213,99
41582;1;44;312;0;0
42018;2;52;327;864276,64;2805655,74
42531;2;52;333;0;0
41987;2;52;283;1252626,53;2756891,04
42948;2;52;272;0;0
41628;2;42;341;14624,24;0
41597;2;42;341;0;0
41982;2;55;304;0;0
42935;1;45;329;0;0
41590;2;52;327;0;0
42456;2;52;333;104199,32;308266,77
41987;2;52;333;108415,33;306797,47
41586;2;52;260;8454,34;37853,12
42933;1;58;309;0;0
41582;2;42;282;0;0
42533;2;55;279;4280199,02;54171830,89
42531;2;55;279;0;0
42935;1;44;312;0;0
42015;2;55;304;0;0
42003;2;55;304;0;0
41604;2;55;292;0;0
42935;2;52;333;0;0
42064;2;52;333;0;0
42093;2;52;310;0;0
41586;2;52;310;442608,86;832800,52
42481;2;52;272;0;-6107317,97
42560;2;42;259;0;0
42030;2;42;341;0;0
42529;2;52;272;-834,37;-714,95
42954;2;55;303;0;0
42953;2;55;303;149867813,5;0
42015;2;55;279;0;0
41989;1;53;262;211585,86;5477216,7
42547;2;52;260;13407,63;79077,73
42526;2;49;332;0;0
42935;1;45;296;0;0
41586;2;55;304;0;0
42553;1;45;311;0;0
42003;2;55;279;0;0
42949;2;55;279;-346,85;0
41625;2;55;292;0;-5254,12
41582;1;45;324;0;0
41590;1;45;311;0;0
42093;2;52;333;0;0
42550;2;52;283;0;0
42935;2;42;282;0;0
41586;2;55;331;0;0
42484;2;55;342;419955,53;1879384,16
42913;1;45;269;1424241,77;3920238,09
42003;2;52;260;0;0
42093;2;52;327;0;0
41607;2;52;260;16978,84;78323,98
41607;2;52;310;882933,35;1723193,54
42484;2;52;272;0;6107317,97
41982;2;55;265;644,91;0
42003;2;55;292;0;0
42933;2;55;342;0;0
42490;2;55;342;0;0
42079;2;55;342;432418,74;1874910,66
41616;1;45;311;549693,44;1597279,08
42919;2;52;333;0;0
42914;1;45;269;0;0
42064;1;58;309;0;0
42477;2;42;259;0;0
42099;2;42;341;35979,05;0
42070;2;42;341;35905,7;0
42008;2;42;268;24634,67;0
41987;2;55;342;455492,98;1868163,73
42469;2;52;272;0;0
41604;1;57;338;0;0
42038;2;42;341;35850,74;0
41622;2;42;341;0;0
41621;2;55;279;142510087,55;95048571,98
42049;2;55;342;460310,71;1872710,58
42518;2;52;327;0;0
42945;1;44;335;0;0
42935;1;45;269;0;0
42045;1;45;269;1241255,47;3080945,85
42550;2;52;260;0;0
42030;2;52;310;0;0
41609;2;52;310;0;0
42550;2;52;272;0;0
41995;2;55;328;0;0
42537;2;42;341;36185,99;0
42531;2;55;331;0;0
42940;2;55;298;0;0
42016;1;44;308;150018,34;2952589,29
42469;2;55;342;0;0
42481;2;52;327;0;-2819076,24
42932;2;52;333;0;0
41590;2;52;333;0;0
42456;2;52;310;804281,84;1733410,87
42517;2;52;272;7099809,31;6114705,76
42546;1;44;315;10773850,5;0
42940;2;55;303;0;0
42469;2;42;259;0;0
42084;2;55;303;136235259,7;0
42938;2;55;328;0;0
41590;2;42;341;0;0
42963;2;42;282;0;0
42935;2;55;265;0;0
41604;1;44;312;0;0
42532;2;55;337;0;0
41609;2;52;327;0;0
41582;1;45;330;0;0
42913;2;52;260;12076,92;79170,08
42093;2;52;260;0;0
42049;2;52;260;15490,43;78603,7
42560;2;52;310;0;0
42003;2;52;310;0;0
42935;2;42;268;0;0
42477;2;42;268;0;0
42003;2;55;265;0;0
41593;2;55;304;0;64995242,7
42030;2;55;342;0;0
42496;1;45;311;1137453,6;4178322,58
42456;2;52;327;790830,51;2815666,11
42903;2;55;279;4132038,05;54688535,32
42935;2;55;304;0;0
42030;1;45;329;0;0
42531;2;52;327;0;0
42502;2;52;283;0;0
42064;2;52;310;0;0
42456;2;52;272;6923030,37;6099930,19
41583;2;55;328;4568145,62;0
42008;2;42;341;35804,04;0
42910;2;42;268;49531,83;0
42560;1;45;324;0;0
42030;2;52;327;0;0
41609;2;52;333;0;0
42469;1;45;330;0;0
42948;2;52;283;0;0
42518;2;52;283;0;0
42947;2;52;333;90963,06;310065,99
42065;2;52;260;0;0
41590;2;52;283;0;0
42919;2;52;272;0;0
42913;2;52;272;6816032,27;6129481,33
42015;2;55;331;6735152,75;0
42483;1;44;312;1689483,23;19019032,2
42045;1;45;324;214427,06;565715,81
42484;2;52;310;0;0
41628;2;42;259;1894,64;0
42962;2;42;282;223,4;0
42938;2;55;342;0;0
42919;2;55;342;367051,12;1886204,47
42469;1;45;311;0;0
42919;2;52;327;0;0
42550;2;52;327;0;0
42049;2;52;272;7210255,9;6085631,25
42475;2;42;259;124427,37;0
42003;2;42;268;0;0
42473;1;44;312;0;0
42948;2;52;327;0;0
42550;2;52;333;0;0
42079;2;52;283;1252906,07;2766847,62
42049;2;52;283;1309725,74;2763600,91
41582;1;58;309;0;0
42064;2;42;259;0;0
42477;2;42;341;0;0
42531;2;55;342;0;0
41581;2;52;333;0;0
41581;2;52;260;0;0
42947;2;52;283;1127181,45;2786652,55
42935;2;55;328;0;0
41621;2;52;310;0;0
42938;2;42;341;36295,67;0
42030;2;42;268;0;0
42505;2;42;282;0;0
42933;2;55;279;3982875,67;55070375,74
42532;2;55;265;0;0
42030;2;55;265;0;0
41609;2;55;342;0;0
42018;2;52;333;113872,27;307170,82
42483;1;45;330;3271859,12;8954111,16
41582;2;52;283;0;0
42517;2;52;310;810413,82;1737598,74
42537;2;42;259;223471,1;97741,2
42910;2;42;341;66033,44;0
41625;2;55;265;21587,09;0
42532;2;55;279;0;0
42495;2;55;342;0;0
42938;1;45;330;0;0
42560;2;52;260;0;0
42919;2;52;283;0;0
42919;2;52;310;0;0
42938;1;44;312;0;0
42003;1;44;316;0;0
41593;2;55;292;0;20928234,77
41586;2;55;292;0;0
41607;2;52;342;-249017,01;-901839,72
42469;2;52;333;0;0
42484;2;52;260;0;0
42560;2;52;283;0;0
42547;2;52;283;1275308,64;2780267,35
42030;2;52;283;0;0
41609;2;52;283;0;0
42531;2;52;260;0;0
42517;2;52;283;1250183,89;2776804,2
42469;2;52;283;0;0
42508;2;42;259;155491,48;0
41586;2;55;279;0;0
42952;2;55;337;0;0
42948;2;55;342;342019;1888331,21
42502;2;52;333;0;0
42064;2;52;260;0;0
42933;2;42;341;0;0
41595;2;42;341;8210,31;0
42003;1;44;308;0;0
41995;2;49;332;626692,12;1310198,81
42956;1;44;312;0;0
41582;1;44;316;0;0
41594;2;55;304;0;0
42938;2;52;327;0;0
42933;2;55;303;0;0
42938;2;42;259;316493,59;129524,76
41582;2;42;259;0;0
42954;2;42;282;0;0
41590;2;55;279;0;0
42531;1;44;308;0;0
42553;1;44;312;0;0
42484;2;52;327;0;2819076,24
42919;2;52;260;0;0
42469;2;52;260;0;0
42952;2;52;283;0;0
41621;2;52;283;0;0
42932;2;52;310;0;0
42469;2;52;310;0;0
41590;2;42;259;0;0
42469;2;42;268;0;0
41622;2;42;268;0;0
42483;2;55;279;0;0
42481;2;55;279;759583,33;52920568,91
42007;2;55;265;547,92;0
42962;2;55;298;67,3;3366,04
42045;1;45;296;922006,91;2904084,01
42518;2;55;342;406448,11;1881657,61
41582;1;45;311;0;0
41581;2;52;327;0;0
42484;2;52;283;0;0
41607;2;52;283;1354004,92;2753766,43
42947;2;52;310;728529,56;1743761,4
42064;2;52;272;0;0
42938;1;44;315;0;0
42935;2;55;303;0;0
42475;2;42;341;36037,38;0
42038;2;42;268;25673,1;0
